대학,최종,수학,수과,국영수과
B대학,합격,5.78 ,5.12 ,5.22 
F대학,불합격,5.16 ,4.14 ,4.44 
A대학,합격,5.16 ,4.14 ,4.44 
D대학,불합격,2.59 ,4.35 ,4.01 
E대학,합격,2.59 ,4.35 ,4.01 
A대학,합격,2.59 ,4.35 ,4.01 
F대학,합격,4.56 ,4.11 ,3.68 
D대학,불합격,4.56 ,4.11 ,3.68 
E대학,불합격,4.56 ,4.11 ,3.68 
A대학,합격,4.56 ,4.11 ,3.68 
C대학,합격,4.56 ,4.11 ,3.68 
E대학,합격,4.59 ,4.57 ,4.40 
F대학,합격,4.59 ,4.57 ,4.40 
A대학,합격,4.59 ,4.57 ,4.40 
B대학,합격,4.59 ,4.57 ,4.40 
B대학,합격,5.00 ,4.43 ,4.29 
C대학,합격,5.00 ,4.43 ,4.29 
F대학,합격,5.00 ,4.43 ,4.29 
C대학,합격,4.00 ,4.28 ,4.18 
D대학,불합격,4.00 ,4.28 ,4.18 
F대학,합격,4.00 ,4.28 ,4.18 
B대학,합격,4.00 ,4.28 ,4.18 
C대학,합격,4.20 ,4.31 ,3.69 
D대학,합격,4.20 ,4.31 ,3.69 
E대학,합격,4.20 ,4.31 ,3.69 
A대학,합격,4.20 ,4.31 ,3.69 
F대학,합격,4.20 ,4.31 ,3.69 
E대학,합격,3.80 ,3.87 ,3.97 
B대학,합격,4.40 ,3.92 ,4.52 
C대학,합격,4.40 ,3.92 ,4.52 
E대학,불합격,4.40 ,3.92 ,4.52 
A대학,합격,4.40 ,3.92 ,4.52 
F대학,합격,4.40 ,3.92 ,4.52 
D대학,불합격,5.20 ,4.56 ,3.70 
B대학,불합격,5.40 ,5.38 ,6.11 
A대학,불합격,5.40 ,5.38 ,6.11 
B대학,불합격,5.60 ,5.55 ,5.36 
C대학,불합격,5.60 ,5.55 ,5.36 
A대학,불합격,5.60 ,5.55 ,5.36 
B대학,불합격,5.20 ,5.04 ,5.38 
C대학,합격,5.20 ,5.04 ,5.38 
A대학,불합격,5.20 ,5.04 ,5.38 
B대학,불합격,6.60 ,6.19 ,5.59 
C대학,불합격,6.60 ,6.19 ,5.59 
A대학,불합격,6.60 ,6.19 ,5.59 
D대학,불합격,4.20 ,4.66 ,3.71 
E대학,합격,4.20 ,4.66 ,3.71 
C대학,합격,5.40 ,5.10 ,4.89 
B대학,합격,5.40 ,5.10 ,4.89 
A대학,불합격,5.40 ,5.10 ,4.89 
F대학,불합격,5.40 ,5.10 ,4.89 
C대학,합격,3.80 ,4.28 ,4.38 
A대학,합격,3.80 ,4.28 ,4.38 
F대학,합격,3.80 ,4.28 ,4.38 
B대학,합격,3.80 ,4.28 ,4.38 
D대학,불합격,4.80 ,4.23 ,3.76 
B대학,불합격,5.20 ,5.21 ,5.42 
A대학,불합격,5.20 ,5.21 ,5.42 
B대학,불합격,6.40 ,5.85 ,5.81 
A대학,불합격,6.40 ,5.85 ,5.81 
C대학,예비,3.60 ,4.71 ,4.59 
A대학,합격,3.60 ,4.71 ,4.59 
F대학,불합격,3.60 ,4.71 ,4.59 
B대학,합격,3.60 ,4.71 ,4.59 
A대학,불합격,6.00 ,6.03 ,6.29 
B대학,합격,5.20 ,4.91 ,5.20 
C대학,합격,5.20 ,4.91 ,5.20 
A대학,불합격,5.20 ,4.91 ,5.20 
C대학,불합격,6.80 ,6.32 ,5.16 
B대학,불합격,6.80 ,6.32 ,5.16 
A대학,불합격,6.80 ,6.32 ,5.16 
B대학,합격,4.60 ,4.52 ,4.80 
F대학,불합격,4.60 ,4.52 ,4.80 
C대학,합격,4.60 ,4.52 ,4.80 
A대학,합격,4.60 ,4.52 ,4.80 
D대학,합격,3.00 ,3.34 ,3.25 
C대학,합격,3.00 ,3.34 ,3.25 
F대학,합격,3.00 ,3.34 ,3.25 
E대학,합격,3.00 ,3.34 ,3.25 
B대학,합격,4.40 ,4.53 ,4.82 
C대학,불합격,4.40 ,4.53 ,4.82 
A대학,불합격,4.40 ,4.53 ,4.82 
B대학,합격,5.80 ,4.74 ,5.24 
A대학,불합격,5.80 ,4.74 ,5.24 
C대학,합격,4.60 ,4.99 ,4.48 
A대학,합격,4.60 ,4.99 ,4.48 
F대학,합격,4.60 ,4.99 ,4.48 
B대학,불합격,4.40 ,5.02 ,5.18 
A대학,불합격,4.40 ,5.02 ,5.18 
B대학,합격,2.80 ,3.84 ,4.64 
E대학,불합격,2.80 ,3.84 ,4.64 
C대학,불합격,2.80 ,3.84 ,4.64 
A대학,불합격,2.80 ,3.84 ,4.64 
B대학,불합격,6.20 ,5.54 ,5.18 
A대학,불합격,6.20 ,5.54 ,5.18 
D대학,합격,3.60 ,3.87 ,3.53 
E대학,합격,3.60 ,3.87 ,3.53 
F대학,합격,3.60 ,3.87 ,3.53 
C대학,합격,3.60 ,3.87 ,3.53 
B대학,합격,4.40 ,4.47 ,4.88 
A대학,불합격,4.40 ,4.47 ,4.88 
B대학,합격,5.00 ,3.98 ,4.06 
B대학,불합격,5.00 ,4.17 ,4.11 
B대학,합격,4.60 ,4.33 ,4.15 
B대학,합격,2.60 ,4.07 ,4.17 
B대학,합격,5.20 ,4.93 ,4.33 
B대학,합격,5.80 ,4.42 ,4.39 
B대학,합격,4.20 ,4.02 ,4.43 
B대학,합격,4.20 ,4.67 ,4.45 
B대학,합격,5.80 ,5.46 ,4.67 
B대학,불합격,5.40 ,4.77 ,4.70 
B대학,불합격,5.40 ,4.98 ,4.72 
B대학,불합격,6.20 ,4.83 ,5.02 
B대학,불합격,4.60 ,5.21 ,5.11 
B대학,불합격,4.40 ,5.17 ,5.32 
B대학,합격,5.20 ,5.22 ,5.36 
B대학,불합격,5.00 ,5.51 ,5.42 
B대학,불합격,6.40 ,5.46 ,5.46 
B대학,불합격,7.20 ,6.09 ,5.62 
B대학,불합격,5.80 ,5.86 ,5.90 
C대학,합격,3.00 ,3.12 ,3.36 
C대학,합격,4.20 ,3.74 ,3.60 
C대학,합격,5.00 ,3.98 ,4.06 
C대학,합격,5.00 ,4.17 ,4.11 
C대학,합격,4.60 ,4.33 ,4.15 
C대학,예비,2.60 ,4.07 ,4.17 
C대학,합격,5.20 ,4.93 ,4.33 
C대학,합격,5.80 ,4.42 ,4.39 
C대학,합격,4.20 ,4.02 ,4.43 
C대학,합격,4.20 ,4.67 ,4.45 
C대학,합격,5.80 ,5.46 ,4.67 
C대학,불합격,4.60 ,5.21 ,5.11 
C대학,불합격,5.00 ,5.51 ,5.42 
A대학,불합격,5.00 ,5.62 ,5.49 
D대학,합격,3.00 ,3.12 ,3.36 
D대학,예비,4.20 ,3.74 ,3.60 
D대학,불합격,5.00 ,3.98 ,4.06 
D대학,불합격,4.60 ,4.33 ,4.15 
D대학,불합격,2.60 ,4.07 ,4.17 
D대학,불합격,4.20 ,4.02 ,4.43 
E대학,합격,3.00 ,3.12 ,3.36 
E대학,합격,4.20 ,3.74 ,3.60 
E대학,불합격,5.00 ,3.98 ,4.06 
E대학,합격,4.20 ,4.02 ,4.43 
B대학,합격,5.20 ,4.43 ,4.63 
D대학,불합격,5.20 ,4.43 ,4.63 
A대학,합격,4.20 ,3.74 ,3.60 
A대학,예비,5.20 ,4.43 ,4.63 
A대학,합격,5.00 ,3.98 ,4.06 
A대학,합격,5.00 ,4.17 ,4.11 
A대학,합격,4.60 ,4.33 ,4.15 
A대학,불합격,5.20 ,4.93 ,4.33 
A대학,합격,5.80 ,4.42 ,4.39 
A대학,합격,4.20 ,4.02 ,4.43 
A대학,합격,4.20 ,4.67 ,4.45 
A대학,불합격,5.80 ,5.46 ,4.67 
A대학,합격,5.40 ,4.77 ,4.70 
A대학,불합격,5.40 ,4.98 ,4.72 
A대학,불합격,6.20 ,4.83 ,5.02 
A대학,합격,4.60 ,5.21 ,5.11 
A대학,불합격,4.40 ,5.17 ,5.32 
A대학,합격,5.20 ,5.22 ,5.36 
A대학,불합격,5.00 ,5.51 ,5.42 
A대학,불합격,6.40 ,5.46 ,5.46 
A대학,불합격,7.20 ,6.09 ,5.62 
A대학,불합격,5.80 ,5.86 ,5.90 
A대학,불합격,6.00 ,6.44 ,6.61 
B대학,합격,4.00 ,4.55 ,4.52 
C대학,합격,4.00 ,4.55 ,4.52 
D대학,불합격,4.00 ,4.55 ,4.52 
A대학,합격,4.00 ,4.55 ,4.52 
F대학,불합격,4.00 ,4.55 ,4.52 
B대학,합격,4.60 ,4.02 ,4.17 
C대학,합격,4.60 ,4.02 ,4.17 
D대학,불합격,4.60 ,4.02 ,4.17 
A대학,합격,4.60 ,4.02 ,4.17 
F대학,합격,4.60 ,4.02 ,4.17 
B대학,합격,4.60 ,4.01 ,4.18 
