대학,최종,수학,수과학,국영수과
A대학,불합격,5.00 ,3.98 ,4.06 
E대학,합격,4.20 ,4.02 ,4.43 
C대학,합격,4.20 ,4.02 ,4.43 
B대학,합격,4.20 ,4.02 ,4.43 
D대학,합격,4.20 ,4.02 ,4.43 
A대학,불합격,4.20 ,4.02 ,4.43 
E대학,불합격,4.60 ,5.21 ,5.11 
D대학,합격,4.60 ,5.21 ,5.11 
C대학,불합격,4.60 ,5.21 ,5.11 
E대학,합격,5.20 ,5.22 ,5.36 
D대학,합격,5.20 ,5.22 ,5.36 
C대학,합격,4.60 ,4.33 ,4.15 
E대학,합격,4.60 ,4.33 ,4.15 
D대학,합격,4.60 ,4.33 ,4.15 
A대학,불합격,4.60 ,4.33 ,4.15 
E대학,합격,4.20 ,4.67 ,4.45 
C대학,합격,4.20 ,4.67 ,4.45 
D대학,합격,4.20 ,4.67 ,4.45 
E대학,불합격,5.40 ,4.98 ,4.72 
D대학,불합격,5.40 ,4.98 ,4.72 
E대학,불합격,7.20 ,6.09 ,5.62 
D대학,불합격,7.20 ,6.09 ,5.62 
E대학,합격,5.80 ,5.46 ,4.67 
D대학,불합격,5.80 ,5.46 ,4.67 
C대학,합격,5.80 ,5.46 ,4.67 
E대학,합격,5.80 ,4.42 ,4.39 
C대학,합격,5.80 ,4.42 ,4.39 
D대학,합격,5.80 ,4.42 ,4.39 
C대학,합격,5.00 ,4.17 ,4.11 
E대학,불합격,5.00 ,4.17 ,4.11 
D대학,합격,5.00 ,4.17 ,4.11 
E대학,불합격,5.80 ,5.86 ,5.90 
D대학,불합격,5.80 ,5.86 ,5.90 
E대학,불합격,6.40 ,5.46 ,5.46 
D대학,불합격,6.40 ,5.46 ,5.46 
E대학,합격,5.20 ,4.93 ,4.33 
C대학,합격,5.20 ,4.93 ,4.33 
D대학,불합격,5.20 ,4.93 ,4.33 
E대학,불합격,5.40 ,4.77 ,4.70 
D대학,합격,5.40 ,4.77 ,4.70 
E대학,불합격,6.20 ,4.83 ,5.02 
D대학,불합격,6.20 ,4.83 ,5.02 
C대학,합격,4.20 ,3.74 ,3.60 
A대학,불합격,4.20 ,3.74 ,3.60 
B대학,합격,4.20 ,3.74 ,3.60 
D대학,합격,4.20 ,3.74 ,3.60 
E대학,불합격,5.00 ,5.51 ,5.42 
D대학,불합격,5.00 ,5.51 ,5.42 
C대학,불합격,5.00 ,5.51 ,5.42 
D대학,불합격,6.00 ,6.44 ,6.61 
E대학,합격,5.00 ,4.43 ,4.29 
C대학,합격,5.00 ,4.43 ,4.29 
E대학,합격,4.00 ,4.28 ,4.18 
C대학,합격,4.00 ,4.28 ,4.18 
A대학,불합격,4.00 ,4.28 ,4.18 
B대학,합격,4.20 ,4.31 ,3.69 
D대학,합격,4.20 ,4.31 ,3.69 
C대학,합격,4.20 ,4.31 ,3.69 
A대학,합격,4.20 ,4.31 ,3.69 
B대학,합격,3.80 ,3.87 ,3.97 
E대학,합격,4.40 ,3.92 ,4.52 
B대학,불합격,4.40 ,3.92 ,4.52 
D대학,합격,4.40 ,3.92 ,4.52 
C대학,합격,4.40 ,3.92 ,4.52 
A대학,불합격,5.20 ,4.56 ,3.70 
E대학,불합격,5.40 ,5.38 ,6.11 
D대학,불합격,5.40 ,5.38 ,6.11 
E대학,불합격,5.60 ,5.55 ,5.36 
D대학,불합격,5.60 ,5.55 ,5.36 
C대학,불합격,5.60 ,5.55 ,5.36 
E대학,불합격,5.20 ,5.04 ,5.38 
D대학,불합격,5.20 ,5.04 ,5.38 
C대학,합격,5.20 ,5.04 ,5.38 
E대학,불합격,6.60 ,6.19 ,5.59 
D대학,불합격,6.60 ,6.19 ,5.59 
C대학,불합격,6.60 ,6.19 ,5.59 
B대학,합격,4.20 ,4.66 ,3.71 
A대학,불합격,4.20 ,4.66 ,3.71 
E대학,합격,5.40 ,5.10 ,4.89 
D대학,불합격,5.40 ,5.10 ,4.89 
C대학,합격,5.40 ,5.10 ,4.89 
D대학,합격,3.80 ,4.28 ,4.38 
E대학,합격,3.80 ,4.28 ,4.38 
C대학,합격,3.80 ,4.28 ,4.38 
A대학,불합격,4.80 ,4.23 ,3.76 
E대학,불합격,5.20 ,5.21 ,5.42 
D대학,불합격,5.20 ,5.21 ,5.42 
E대학,불합격,6.40 ,5.85 ,5.81 
D대학,불합격,6.40 ,5.85 ,5.81 
D대학,합격,3.60 ,4.71 ,4.59 
E대학,합격,3.60 ,4.71 ,4.59 
C대학,불합격,3.60 ,4.71 ,4.59 
D대학,불합격,6.00 ,6.03 ,6.29 
E대학,합격,5.20 ,4.91 ,5.20 
D대학,불합격,5.20 ,4.91 ,5.20 
C대학,합격,5.20 ,4.91 ,5.20 
E대학,불합격,6.80 ,6.32 ,5.16 
D대학,불합격,6.80 ,6.32 ,5.16 
C대학,불합격,6.80 ,6.32 ,5.16 
E대학,합격,4.60 ,4.52 ,4.80 
D대학,합격,4.60 ,4.52 ,4.80 
C대학,합격,4.60 ,4.52 ,4.80 
C대학,합격,3.00 ,3.34 ,3.25 
A대학,합격,3.00 ,3.34 ,3.25 
B대학,합격,3.00 ,3.34 ,3.25 
E대학,합격,4.40 ,4.53 ,4.82 
D대학,불합격,4.40 ,4.53 ,4.82 
C대학,불합격,4.40 ,4.53 ,4.82 
E대학,합격,5.80 ,4.74 ,5.24 
D대학,불합격,5.80 ,4.74 ,5.24 
D대학,합격,4.60 ,4.99 ,4.48 
C대학,합격,4.60 ,4.99 ,4.48 
E대학,불합격,4.40 ,5.02 ,5.18 
D대학,불합격,4.40 ,5.02 ,5.18 
E대학,합격,2.80 ,3.84 ,4.64 
B대학,불합격,2.80 ,3.84 ,4.64 
D대학,불합격,2.80 ,3.84 ,4.64 
C대학,불합격,2.80 ,3.84 ,4.64 
E대학,불합격,6.20 ,5.54 ,5.18 
D대학,불합격,6.20 ,5.54 ,5.18 
C대학,합격,3.60 ,3.87 ,3.53 
A대학,합격,3.60 ,3.87 ,3.53 
B대학,합격,3.60 ,3.87 ,3.53 
E대학,합격,4.40 ,4.47 ,4.88 
D대학,불합격,4.40 ,4.47 ,4.88 
